,id,name,company_has_phd,proportion_technical,founder_from_institute,founder_has_phd,founder_pat_pub,No_people_input
0,1742681,Healthcardionexion.com,0,,,,,1
1,1743314,4P Pharma,1,0.7,0.0,1.0,0.0,0
2,1598607,AFYREN,1,0.3,0.0,2.0,1.0,0
3,894817,Abbelight,1,0.7647058823529411,1.0,2.0,1.0,0
4,1683057,AblaCare,0,0.0,0.0,0.0,0.0,0
5,1660138,Acklio,1,0.5,0.0,1.0,0.0,0
6,869601,Actronika,0,0.42105263157894735,0.0,0.0,0.0,0
7,1682111,Acubens,0,,,,,1
8,1683462,Addidream,0,0.25,0.0,0.0,0.0,0
9,1479284,AddUp,0,,,,,1
10,1479192,Adionics,0,0.6666666666666666,0.0,0.0,0.0,0
11,917491,Acs Biotech,0,0.0,0.0,0.0,0.0,0
12,898594,Aenitis,1,0.5714285714285714,0.0,0.0,0.0,0
13,1618458,AFULudine,1,0.2727272727272727,0.0,1.0,0.0,0
14,1742383,AgenT,0,,,,,1
15,1478165,APSI 3D,0,,,,,1
16,1448132,Air-Serenity,1,0.3333333333333333,0.0,1.0,0.0,0
17,868613,Air-Lynx,0,0.21428571428571427,0.0,0.0,0.0,0
18,1834217,AirMems,1,0.8571428571428571,0.0,1.0,0.0,0
19,1479334,Airthium,0,0.8333333333333334,0.0,0.0,0.0,0
20,1862064,Ajelis,0,,,,,1
21,894777,Akheros,0,0.5,0.0,0.0,0.0,0
22,1811901,Akryvia,0,0.38461538461538464,0.0,0.0,0.0,0
23,10427,Aledia,1,0.6057692307692307,0.0,1.0,0.0,0
24,926638,Algodone,0,0.36363636363636365,0.0,0.0,0.0,0
25,1832469,Algosource,0,,,,,1
26,1832154,Alizé Pharma,1,0.3333333333333333,0.0,1.0,0.0,0
27,1248545,Alphanosos,0,,,,,1
28,923651,Alsid,0,0.2676056338028169,0.0,0.0,0.0,0
29,926466,Altevax,0,,,,,1
30,1768749,ALZOHIS,0,0.16666666666666666,0.0,0.0,0.0,0
31,969057,Amoneta Diagnostics SAS,0,0.5,0.0,0.0,0.0,0
32,1682182,Amypore,0,,,,,1
33,969382,Ciloa SAS,0,,,,,1
34,1743459,CLINIFIT,0,,,,,1
35,26725,Cogniteev,0,,,,,1
36,1464696,Crosslux,0,,,,,1
37,1482759,Gen.Orph,0,,,,,1
38,1458223,H-Immune,0,,,,,1
39,1478345,HydrOcean,0,,,,,1
40,1792163,Isabo,0,,,,,1
41,932476,Lipofabrik,0,,,,,1
42,1817120,Lyophitech,0,,,,,1
43,885585,Nixys,0,,,,,1
44,1743523,Nodea Medical,0,,,,,1
45,1482975,OncoDiag,0,,,,,1
46,1832967,Phonoptics,0,,,,,1
47,215537,Prestodiag,0,,,,,1
48,1447767,RegStem,0,,,,,1
49,1336864,Spotlight,0,,,,,1
50,1842349,Tollys,0,,,,,1
51,1742837,Tricares,0,,,,,1
52,906637,voxolab,0,,,,,1
53,1843930,GMP Orphan Deutschland,0,,,,,1
54,1773238,Urania Therapeutics,0,,,,,1
55,1756462,Holistick medical,0,,,,,1
56,1743435,CIP sysTems,0,,,,,1
57,1763083,Extralab System,0,,,,,1
58,1787891,Lalilo,0,,,,,1
59,232939,Mensia Technologies,0,,,,,1
60,1482033,Akwatyx,0,,,,,1
61,893856,Artchy,0,,,,,1
62,1834666,Black-line,0,,,,,1
63,20334,Dareboost,0,,,,,1
64,1477723,Epiderm,0,,,,,1
65,1835167,Eyye,0,,,,,1
66,1660410,Heyliot,0,,,,,1
67,137584,Knot,0,,,,,1
68,97446,Memento,0,,,,,1
69,1660559,O'Sol,0,,,,,1
70,1749405,Safe-Cyberdefense,0,,,,,1
71,1482312,Aqualeg,0,,,,,1
72,74402,Groupe ADF,0,,,,,1
73,899324,Aeris group,0,,,,,1
74,172165,APPARTOO,0,,,,,1
75,1482023,Argos VR Systems,0,,,,,1
76,1479354,Ecole de Biologie Industrielle,0,,,,,1
77,1905854,Bcm,0,,,,,1
78,1248567,Comet,0,,,,,1
79,1893733,Datarocks,0,,,,,1
80,1748938,Wosomtech,0,,,,,1
81,13281,DP,0,,,,,1
82,1481828,Eminence SAS,0,,,,,1
83,1660334,EONEF,0,,,,,1
84,221666,CVG,0,,,,,1
85,1483742,Faldes,0,,,,,1
86,1660354,FEALINX,0,,,,,1
87,898848,Genes'ink,0,,,,,1
88,1524875,Okwind.fr,0,,,,,1
89,1742844,InnoproteaFrance,0,,,,,1
90,102427,ICO,0,,,,,1
91,1813063,Kojo,0,,,,,1
92,1477351,Icare laboratory,0,,,,,1
93,1749457,Motion France,0,,,,,1
94,1533124,TokTokDoc,0,,,,,1
95,1483377,Watteco,0,,,,,1
96,1891959,Novaquark,0,,,,,1
97,1480726,Oneortho medical,0,,,,,1
98,1749463,Parkmatch,0,,,,,1
99,1478711,Rollkers,0,,,,,1
100,892870,Esillage,0,,,,,1
101,1919211,Smartfuture,0,,,,,1
102,210185,Swift,0,,,,,1
103,144370,Sword,0,,,,,1
104,1748323,Picto Travel,0,,,,,1
105,1742531,XT-VISION,0,,,,,1
106,1817020,Expertisens,0,,,,,1
107,168698,Greenleaf,0,,,,,1
108,868226,Makitoo,0,,,,,1
109,1743428,Payname,0,,,,,1
110,1826650,Sylha,0,,,,,1
111,1483772,Tidalys,0,,,,,1
112,1710507,NumScale,0,,,,,1
113,1483735,Arthur Dupuy,0,,,,,1
114,1482710,ATAWEY,0,,,,,1
115,1478179,Anagenesis,0,,,,,1
116,929365,Apix Analytics,1,0.45,2.0,1.0,0.0,0
117,969067,Anatoscope,1,0.6875,1.0,2.0,1.0,0
118,882266,Angus.AI,1,0.5,1.0,1.0,1.0,0
119,922798,Antabio,1,0.3076923076923077,0.0,1.0,0.0,0
120,894781,Antescofo,1,0.13333333333333333,1.0,2.0,1.0,0
121,1834218,Anywaves,1,0.5238095238095238,0.0,1.0,0.0,0
122,1742547,APCure,0,,,,,1
123,869272,Apizee,0,0.3055555555555556,0.0,0.0,0.0,0
124,1761584,Aqemia,1,0.75,1.0,1.0,1.0,0
125,870799,Argosim,0,0.0,0.0,0.0,0.0,0
126,972999,Armor,0,,,,,1
127,1748355,Arskan,0,,,,,1
128,1534628,Astraveus,1,0.6666666666666666,1.0,1.0,0.0,0
129,892840,Augment,0,0.0,0.0,0.0,1.0,0
130,1248552,Autokab,0,0.0,0.0,0.0,0.0,0
131,962227,Aveine,0,0.0,0.0,0.0,0.0,0
132,1249456,Avril,0,,,,,1
133,1834596,AYKOW,0,,,,,1
134,1742934,Ayni,0,0.16666666666666666,0.0,0.0,0.0,0
135,1248553,Babyprogress,0,0.0,0.0,0.0,0.0,0
136,893871,Balyo,0,,,,,1
137,92747,Beam,0,,,,,1
138,1248555,BeeBryte,0,0.2,0.0,0.0,0.0,0
139,1479918,BIOMAE,1,0.75,0.0,1.0,0.0,0
140,1710681,BioMathematica,1,1.0,0.0,1.0,1.0,0
141,1737286,BIOMILLENIA,1,0.8,0.0,0.0,0.0,0
142,892854,Biomodex,1,0.25925925925925924,0.0,0.0,0.0,0
143,215379,Biophytis,1,0.47058823529411764,0.0,1.0,0.0,0
144,1481524,Biosency,1,0.3333333333333333,0.0,1.0,0.0,0
145,864003,Bioserenity,0,,,,,1
146,1534604,SAS BIOSPEEDIA,0,0.25,0.0,0.0,0.0,0
147,1757989,Blazar,1,1.0,0.0,1.0,1.0,0
148,1677994,Bleckwen,0,0.3793103448275862,0.0,0.0,0.0,0
149,1822366,Bluescop,0,1.0,0.0,0.0,0.0,0
150,1834691,Bonetag,0,,,,,1
151,1249119,BrainEver,1,0.42857142857142855,0.0,0.0,0.0,0
152,1713805,BrainPlotting,1,1.0,1.0,1.0,0.0,0
153,1662836,Braintale,1,0.3333333333333333,0.0,2.0,0.0,0
154,882193,BrainVectis,0,1.0,0.0,0.0,0.0,0
155,1453157,C4Diagnostics,1,0.42857142857142855,0.0,1.0,0.0,0
156,209726,CAILabs,1,0.4230769230769231,1.0,1.0,0.0,0
157,214978,Calixar,1,0.45454545454545453,0.0,1.0,0.0,0
158,890785,CallDesk,0,0.05,0.0,0.0,0.0,0
159,894830,Cardiawave,0,0.32142857142857145,1.0,0.0,0.0,0
160,91590,CardioLogs,1,0.3076923076923077,0.0,1.0,2.0,0
161,1742805,Cartesiam,0,0.5333333333333333,0.0,0.0,0.0,0
162,883577,Carthera,0,0.2,0.0,0.0,0.0,0
163,1478349,Case Law Analytics,0,0.42857142857142855,1.0,0.0,0.0,0
164,894832,Celescreen,0,0.3333333333333333,0.0,0.0,1.0,0
165,1834791,CELL-EASY,1,0.7272727272727273,0.0,2.0,0.0,0
166,892999,Cellectis,0,,,,,1
167,1811723,Celloz,0,0.3333333333333333,0.0,0.0,0.0,0
168,5741,Cinequant,0,,,,,1
169,1742717,Cintoo,0,0.2222222222222222,0.0,0.0,0.0,0
170,1466670,Cliris,0,0.15789473684210525,0.0,0.0,0.0,0
171,152475,ClosyCom,0,0.0,0.0,0.0,0.0,0
172,1660272,Copeeks,1,0.375,0.0,1.0,0.0,0
173,893908,Cornis,1,0.5454545454545454,0.0,2.0,2.0,0
174,1742804,CorWave,0,,,,,1
175,1482002,Cosmian,0,0.2857142857142857,0.0,0.0,2.0,0
176,882362,Craft AI,0,0.375,0.0,0.0,0.0,0
177,892057,CryoCapCell,1,0.5,0.0,1.0,1.0,0
178,246726,CybelAngel,1,0.3148148148148148,0.0,0.0,0.0,0
179,1478145,CybeleTech,1,0.5,0.0,0.0,0.0,0
180,1671934,Cyber-Detect,0,0.0,0.0,0.0,0.0,0
181,1660280,Cysalys,0,,,,,1
182,1447840,DAMAVAN IMAGING,0,0.4,0.0,0.0,0.0,0
183,891522,Datadome,0,0.30434782608695654,0.0,0.0,0.0,0
184,1743249,DATEXIM,1,0.2857142857142857,0.0,1.0,0.0,0
185,1660287,DAUMET,0,0.3333333333333333,0.0,0.0,1.0,0
186,871271,Dawex,0,0.1346153846153846,0.0,0.0,1.0,0
187,75147,Deepomatic,1,0.2777777777777778,0.0,2.0,2.0,0
188,922504,DeepOR,0,0.125,0.0,0.0,0.0,0
189,1481313,Defymed,1,0.25,1.0,1.0,0.0,0
190,867641,Delair,0,0.3333333333333333,0.0,0.0,0.0,0
191,1817001,Delled,0,0.75,0.0,0.0,0.0,0
192,1758016,DeltaBlock,0,,,,,1
193,1768811,Demeta,1,0.391304347826087,0.0,0.0,0.0,0
194,969520,Depixus,1,0.6666666666666666,0.0,0.0,0.0,0
195,898878,Picoseq,1,0.6666666666666666,0.0,0.0,0.0,0
196,30708,Devialet,0,,,,,1
197,924529,Diabeloop,1,0.4375,0.0,0.0,0.0,0
198,1477530,Diafir,1,0.8333333333333334,0.0,1.0,0.0,0
199,1760854,Diamidex,1,0.4166666666666667,1.0,0.0,0.0,0
200,898779,Diamlite,0,0.0,0.0,0.0,0.0,0
201,1817344,Dianosic,1,0.3333333333333333,0.0,0.0,0.0,0
202,883351,Digeiz,0,0.16666666666666666,0.0,0.0,2.0,0
203,1482961,Dilepix,0,0.3333333333333333,1.0,0.0,1.0,0
204,1856151,DiogenX,0,,,,,1
205,79761,DocTrackr,0,,,,,1
206,219699,DreamQuark,1,0.30303030303030304,0.0,0.0,0.0,0
207,175336,Dreem,1,0.2857142857142857,0.0,2.0,1.0,0
208,973446,Dynacure,1,0.625,0.0,1.0,0.0,0
209,887072,Earthcube,1,0.46835443037974683,0.0,1.0,1.0,0
210,887078,ECHY,0,0.0,0.0,0.0,0.0,0
211,107881,Eco-adapt,0,0.5625,0.0,0.0,0.0,0
212,684226,Ecoat,0,0.4117647058823529,0.0,0.0,0.0,0
213,883352,Elichens,1,0.53125,0.0,1.0,0.0,0
214,176402,Elistair,0,0.34375,0.0,0.0,0.0,0
215,891149,CellProthera,0,0.3333333333333333,0.0,0.0,0.0,0
216,894840,Elum Energy,0,0.2631578947368421,0.0,0.0,0.0,0
217,1757625,Elvesys,1,0.5135135135135135,0.0,2.0,0.0,0
218,1482445,Elyssamed,0,0.0,0.0,0.0,0.0,0
219,1660326,Embodme,1,0.5,0.0,1.0,1.0,0
220,1681973,Enancio,0,0.0,0.0,0.0,0.0,0
221,1671955,Encefa,1,0.6,1.0,1.0,2.0,0
222,912521,Endodiag,1,0.47058823529411764,0.0,1.0,0.0,0
223,865638,EnerBee,0,0.42857142857142855,0.0,0.0,0.0,0
224,79945,Energiency,0,0.1875,0.0,0.0,0.0,0
225,1477390,Enhancia,0,0.4,0.0,0.0,0.0,0
226,870800,Enobraq,0,0.7272727272727273,0.0,0.0,0.0,0
227,1480957,Enyx,0,0.42857142857142855,0.0,0.0,0.0,0
228,910929,E-Odyn,0,0.4,0.0,0.0,0.0,0
229,1747861,Eomys,0,,,,,1
230,969581,E-PHY-SCIENCE,1,0.42857142857142855,0.0,1.0,1.0,0
231,934437,Ergosup,0,0.375,0.0,0.0,0.0,0
232,894843,Erypharm,1,0.5555555555555556,0.0,1.0,1.0,0
233,1481009,Eshard,1,0.47619047619047616,0.0,2.0,2.0,0
234,1845173,ETISENSE SAS,1,0.5,1.0,1.0,1.0,0
235,1479403,Euveka,0,0.2,0.0,0.0,0.0,0
236,1477864,EVaderis,1,1.0,0.0,1.0,0.0,0
237,1660341,ExactCure,1,0.4782608695652174,0.0,3.0,1.0,0
238,1483348,Exagan,0,0.6666666666666666,2.0,0.0,0.0,0
239,972533,Nextbiotix,0,0.6666666666666666,2.0,0.0,0.0,0
240,1831990,Exeliom Biosciences,0,0.6666666666666666,2.0,0.0,0.0,0
241,1447876,Exotrail,1,0.6571428571428571,0.0,1.0,0.0,0
242,926513,Expliseat,1,0.3076923076923077,0.0,0.0,0.0,0
243,949071,Expressivee,0,0.35714285714285715,2.0,0.0,0.0,0
244,1763080,Extralab,1,1.0,0.0,1.0,0.0,0
245,1916899,Nosoft,0,0.0,0.0,0.0,0.0,0
246,1832865,E-zyvec,0,0.45454545454545453,0.0,0.0,0.0,0
247,1478533,Fair&Smart,0,0.3,1.0,0.0,0.0,0
248,1763085,Fairbrics,1,0.8333333333333334,1.0,2.0,2.0,0
249,1683450,Febus Optics,1,0.5263157894736842,0.0,1.0,0.0,0
250,1478456,Feroscan,1,0.3333333333333333,0.0,0.0,0.0,0
251,971808,Ffly4u,0,0.21428571428571427,0.0,0.0,0.0,0
252,1748070,Fi2Med,0,,,,,1
253,1483439,FiberMetrix,1,0.8333333333333334,1.0,1.0,0.0,0
254,15150,FittingBox,0,0.16049382716049382,0.0,0.0,0.0,0
255,894847,Fluidion,1,0.6666666666666666,0.0,1.0,0.0,0
256,1248581,Foodvisor,0,0.2222222222222222,0.0,0.0,0.0,0
257,945287,ForCity,0,0.2727272727272727,0.0,0.0,0.0,0
258,1742642,Frecnsys,0,0.45454545454545453,0.0,0.0,0.0,0
259,1482166,Freemens SAS,0,0.5714285714285714,0.0,0.0,0.0,0
260,223272,Genel,0,,,,,1
261,1464703,Genochem,0,,,,,1
262,1448018,Genoskin,1,0.4090909090909091,1.0,1.0,1.0,0
263,864349,Geocorail,0,0.15384615384615385,0.0,0.0,0.0,0
264,1832500,Geoflex,0,0.5,0.0,0.0,0.0,0
265,1801374,GeoTwin,0,,,,,1
266,1835303,GlioCure,0,0.6,0.0,0.0,0.0,0
267,1248583,Global Sensing Technologies,0,,,,,1
268,970186,GLOphotonics,0,0.8,0.0,0.0,0.0,0
269,1479591,Orphan Europe SARL,0,,,,,1
