,id,name,proportion_technical,founder_from_institute,founder_has_phd,founder_pat_pub
703,31373,Agorize,0.05263157894736842,0.0,0.0,0.0
704,20378,Akeneo,,,,
705,877364,Alan,,,,
706,1660158,ALEPH-NETWORKS,0.16666666666666666,1.0,0.0,0.0
707,198819,Alphametry,,,,
708,1748204,Amazjob,,,,
709,926467,AmpliSIM,0.2,0.0,0.0,0.0
710,1483829,Aquassay,0.19047619047619047,0.0,0.0,0.0
711,962228,Asamgo,,,,
712,1748303,Audiospot,,,,
713,1533583,Avanseo,0.2857142857142857,0.0,0.0,0.0
714,1749122,Axibio,0.14285714285714285,0.0,0.0,0.0
715,924332,Azetone,0.25,0.0,0.0,0.0
716,901954,BELEM,0.16666666666666666,0.0,0.0,1.0
717,1662974,BioMiMetiC,0.5,0.0,1.0,0.0
718,968206,Bubblz,0.2857142857142857,0.0,0.0,0.0
719,1480729,Cleed,0.125,0.0,0.0,0.0
720,907487,comet,0.1111111111111111,0.0,0.0,1.0
721,1748129,Contentarmor,,,,
722,1483687,DATATEGY,0.40625,1.0,1.0,1.0
723,1481840,Digitemis,0.11363636363636363,0.0,0.0,0.0
724,1748030,Doc.Fr,,,,
725,1533585,Drapo,0.1111111111111111,0.0,0.0,0.0
726,891252,EasyMile,,,,
727,885074,Easyverif,0.0,0.0,0.0,0.0
728,1683492,Emundus,0.09090909090909091,1.0,0.0,0.0
729,1684409,Ener-pacte,0.11764705882352941,0.0,0.0,0.0
730,1748987,Epur,0.16666666666666666,0.0,0.0,0.0
731,1447302,Equimov,0.0,0.0,0.0,0.0
732,1877117,Eventtia,0.0,0.0,0.0,0.0
733,1835159,Exolis,0.0,0.0,0.0,0.0
734,1835172,Facetts,0.5,0.0,0.0,0.0
735,1671878,Feeli,0.3333333333333333,0.0,0.0,0.0
736,172661,Ferpection,0.4,0.0,0.0,0.0
737,131480,FITLE,0.047619047619047616,0.0,0.0,0.0
738,1756419,Folhomee,0.1,0.0,0.0,0.0
739,885584,F-Reg,0.38461538461538464,0.0,0.0,0.0
740,1861935,Gangz,0.023809523809523808,0.0,0.0,0.0
741,1792245,Getpro,0.029411764705882353,0.0,0.0,0.0
